,m,l,P,r,T,rho,epsilon,kappa,nabla_ad,nabla,convection/radiation
2235,3.6003001500750373e+33,5.796910885431172e+34,987728033662912.8,45631904037.63287,5427051.054325382,1.3440755499264916,0.002494127052197029,2.7078534239125633,0.4,0.4,convective
2236,3.598599299649825e+33,5.796910456540535e+34,995230737751771.0,45583654064.57397,5435014.543832698,1.3523058176777027,0.0025308501606059004,2.7025226206577644,0.4,0.4,convective
2237,3.596898449224612e+33,5.796910021279623e+34,1002761454185306.6,45535593507.369064,5442958.295114295,1.3605549941414998,0.0025679576845275493,2.697222822505573,0.4,0.4,convective
2238,3.5951975987993997e+33,5.79690957958537e+34,1010320214430634.8,45487720746.47854,5450882.609555144,1.368823052985198,0.002605452475828802,2.691953438148491,0.4,0.4,convective
2239,3.593496748374187e+33,5.796909131394502e+34,1017907050956309.2,45440034190.60882,5458787.794462795,1.3771099664492372,0.0026433374316506006,2.686713871201824,0.4,0.4,convective
2240,3.5917958979489744e+33,5.796908676643545e+34,1025521997232302.6,45392532276.71248,5466674.163067357,1.385415705300816,0.00268161549588008,2.68150352031062,0.4,0.4,convective
2241,3.5900950475237615e+33,5.796908215268816e+34,1033165087730026.2,45345213469.988144,5474542.0345215155,1.393740238787624,0.0027202896606498433,2.676321779254723,0.4,0.4,convective
2242,3.588394197098549e+33,5.796907747206429e+34,1040836357922309.5,45298076263.880615,5482391.733900517,1.4020835345915739,0.0027593629678647714,2.6711680370519026,0.4,0.4,convective
2243,3.586693346673336e+33,5.79690727239229e+34,1048535844283421.5,45251119180.080734,5490223.592202188,1.4104455587826386,0.002798838510756548,2.6660416780593317,0.4,0.4,convective
2244,3.584992496248124e+33,5.796906790762103e+34,1056263584289048.8,45204340768.5255,5498037.9463469125,1.4188262757726866,0.0028387194354664172,2.6609420820733893,0.4,0.4,convective
2245,3.583291645822911e+33,5.796906302251366e+34,1064019616416317.0,45157739607.39795,5505835.139177654,1.4272256482694206,0.0028790089426567085,2.6558686244279097,0.4,0.4,convective
2246,3.5815907953976986e+33,5.79690580679537e+34,1071803980143770.9,45111314303.12732,5513615.519459932,1.4356436372303245,0.002919710289150701,2.6508206760911923,0.4,0.4,convective
2247,3.579889944972486e+33,5.796905304329202e+34,1079616715951390.6,45065063490.38888,5521379.441881847,1.4440802018167036,0.002960826789602512,2.6457976037614928,0.4,0.4,convective
2248,3.5781890945472733e+33,5.796904794787746e+34,1087457865320585.8,45018985832.104004,5529127.267054066,1.4525352993477598,0.003002361818196031,2.6407987699615965,0.4,0.4,convective
2249,3.576488244122061e+33,5.796904278105676e+34,1095327470734186.0,44973080019.440216,5536859.361509819,1.4610088852547234,0.0030443188103741322,2.6358235331321347,0.4,0.4,convective
2250,3.574787393696848e+33,5.796903754217467e+34,1103225575676460.5,44927344771.81111,5544576.097704912,1.4695009130350731,0.0030867012645985296,2.6308712477240768,0.4,0.4,convective
2251,3.5730865432716357e+33,5.796903223057384e+34,1111152224633096.5,44881778836.87641,5552277.854017712,1.4780113342067827,0.0031295127441403436,2.6259412642902524,0.4,0.4,convective
2252,3.571385692846423e+33,5.796902684559487e+34,1119107463091221.0,44836380990.54191,5559965.014749167,1.4865400982626746,0.003172756878902218,2.6210329295762143,0.4,0.4,convective
2253,3.5696848424212104e+33,5.796902138657635e+34,1127091337539377.5,44791150036.95956,5567637.970122779,1.495087152624802,0.003216437367271908,2.6161455866105183,0.4,0.4,convective
2254,3.567983991995998e+33,5.796901585285477e+34,1135103895467547.5,44746084808.52736,5575297.11628463,1.5036524425989475,0.0032605579780086566,2.6112785747942877,0.4,0.4,convective
2255,3.566283141570785e+33,5.79690102437646e+34,1143145185367141.0,44701184165.88944,5582942.855303371,1.5122359113291688,0.00330512255216196,2.6064312299905334,0.4,0.4,convective
2256,3.564582291145573e+33,5.796900455863825e+34,1151215256730988.2,44656446997.93607,5590575.595170213,1.5208374997524277,0.0033501350050237056,2.6016028846130634,0.4,0.4,convective
2257,3.56288144072036e+33,5.796899879680607e+34,1159314160053358.5,44611872221.80355,5598195.749798945,1.5294571465533342,0.0033955993281144163,2.596792867715054,0.4,0.4,convective
2258,3.5611805902951475e+33,5.796899295759635e+34,1167441946829939.8,44567458782.87437,5605803.739025919,1.5380947881189364,0.0034415195912032353,2.5920005050777735,0.4,0.4,convective
2259,3.5594797398699346e+33,5.796898704033537e+34,1175598669557859.0,44523205654.77703,5613399.988610062,1.5467503584936562,0.003487899944363432,2.5872251192989415,0.4,0.4,convective
2260,3.557778889444722e+33,5.796898104434733e+34,1183784381735660.8,44479111839.38623,5620984.93023286,1.5554237893342728,0.003534744620063039,2.5824660298813256,0.4,0.4,convective
2261,3.556078039019509e+33,5.796897496895436e+34,1191999137863329.2,44435176366.82271,5628559.001498383,1.5641150098650676,0.0035820579352915777,2.5777225533215278,0.4,0.4,convective
2262,3.554377188594297e+33,5.796896881347657e+34,1200242993442266.8,44391398295.453354,5636122.645933252,1.5728239468330305,0.0036298442937235456,2.5729940031988674,0.4,0.4,convective
2263,3.552676338169084e+33,5.7968962577232e+34,1208516004975315.2,44347776711.89112,5643676.312986674,1.5815505244632317,0.003678108187919188,2.5682796902647222,0.4,0.4,convective
2264,3.5509754877438717e+33,5.796895625953666e+34,1216818229966733.0,44304310730.9951,5651220.45803041,1.590294664414272,0.003726854201563036,2.5635789225322765,0.4,0.4,convective
2265,3.5492746373186593e+33,5.7968949859704485e+34,1225149726922216.8,44260999495.87047,5658755.542358802,1.5990562857339117,0.003776087011741444,2.5588910053667004,0.4,0.4,convective
2266,3.5475737868934464e+33,5.796894337704737e+34,1233510555348891.5,44217842177.86851,5666282.033188757,1.6078353048148075,0.003825811391259034,2.5542152415760793,0.4,0.4,convective
2267,3.545872936468234e+33,5.796893681087514e+34,1241900775755302.0,44174837976.586624,5673800.403659745,1.616631635350395,0.0038760322109952735,2.549550931502916,0.4,0.4,convective
2268,3.544172086043021e+33,5.79689301604956e+34,1250320449651433.0,44131986119.8683,5681311.132833814,1.6254451882909589,0.003926754442301952,2.5448973731164752,0.4,0.4,convective
2269,3.542471235617809e+33,5.796892342521449e+34,1258769639548687.0,44089285863.80316,5688814.705695575,1.634275871799817,0.003977983159442039,2.5402538621058977,0.4,0.4,convective
2270,3.540770385192596e+33,5.796891660433549e+34,1267248408959906.5,44046736492.7269,5696311.6131522115,1.6431235912097293,0.004029723542070749,2.5356196919743916,0.4,0.4,convective
2271,3.5390695347673835e+33,5.796890969716022e+34,1275756822399350.5,44004337319.22134,5703802.352033471,1.6519882489794295,0.004081980877759713,2.5309941541343437,0.4,0.4,convective
2272,3.537368684342171e+33,5.7968902702988295e+34,1284294945382716.0,43962087684.114395,5711287.425091675,1.6608697446504022,0.004134760564565233,2.5263765380035355,0.4,0.4,convective
2273,3.535667833916958e+33,5.796889562111722e+34,1292862844427128.2,43919986956.48009,5718767.341001715,1.6697679748038177,0.004188068113640994,2.5217661311026065,0.4,0.4,convective
2274,3.533966983491746e+33,5.7968888450845935e+34,1301460586693078.2,43878034525.62184,5726242.606267916,1.6786828349472334,0.0042419091229770264,2.517162232300363,0.4,0.4,convective
2275,3.532266133066533e+33,5.796888119301645e+34,1310088055674464.8,43836226016.15221,5733709.859215517,1.6876151289779215,0.004296275272030445,2.512570400248236,0.4,0.4,convective
2276,3.5305652826413206e+33,5.796887384795224e+34,1318745099604571.2,43794557506.2225,5741166.016544865,1.69656554938097,0.004351158594890125,2.5079956312680807,0.4,0.4,convective
2277,3.5288644322161076e+33,5.79688664145802e+34,1327431691365317.5,43753028138.82434,5748611.047145962,1.7055340519761542,0.0044065618772395655,2.5034379379002587,0.4,0.4,convective
2278,3.527163581790895e+33,5.796885889182422e+34,1336147804419160.8,43711637061.260185,5756044.920943811,1.714520593653171,0.004462487905252663,2.49889733078221,0.4,0.4,convective
2279,3.525462731365683e+33,5.796885127860519e+34,1344893412809116.2,43670383425.143295,5763467.608898436,1.72352513235676,0.004518939465653055,2.4943738186600823,0.4,0.4,convective
2280,3.52376188094047e+33,5.7968843573840995e+34,1353668491158748.8,43629266386.397736,5770879.083004879,1.7325476270718791,0.0045759193457774626,2.489867408400964,0.4,0.4,convective
2281,3.522061030515257e+33,5.79688357764465e+34,1362473014672165.8,43588285105.25845,5778279.316293188,1.7415880378089839,0.004633430333643757,2.485378105005405,0.4,0.4,convective
2282,3.520360180090045e+33,5.796882788533359e+34,1371306959134024.2,43547438746.27118,5785668.28282843,1.7506463255894027,0.004691475218022674,2.480905911620635,0.4,0.4,convective
2283,3.5186593296648324e+33,5.796881989941111e+34,1380170300909536.2,43506726478.29246,5793045.957710684,1.759722452430807,0.004750056788515118,2.4764508295538854,0.4,0.4,convective
2284,3.5169584792396194e+33,5.7968811817584945e+34,1389063016944463.0,43466147474.48966,5800412.317075053,1.7688163813327547,0.00480917783563285,2.4720128582862864,0.4,0.4,convective
2285,3.515257628814407e+33,5.796880363875792e+34,1397985084765106.2,43425700912.34102,5807767.338091639,1.7779280762623204,0.004868841150884277,2.4675993540246126,0.4,0.4,convective
2286,3.513556778389194e+33,5.79687953618299e+34,1406936482478328.0,43385385973.63551,5815110.998965573,1.7870575021398398,0.004929049526864735,2.463632971580733,0.4,0.4,convective
2287,3.511855927963982e+33,5.796878698569772e+34,1415917188771528.8,43345201844.47302,5822443.278936988,1.7962046248247,0.004989805757351157,2.4596803101454605,0.4,0.4,convective
2288,3.510155077538769e+33,5.796877850925521e+34,1424927182912668.8,43305147715.26418,5829764.158281043,1.8053694111012561,0.005051112637401397,2.4557413896194777,0.4,0.4,convective
2289,3.5084542271135565e+33,5.796876993139322e+34,1433966444750246.8,43265222780.730515,5837073.6183079025,1.81455182866479,0.00511297296345838,2.4518162279581732,0.4,0.4,convective
2290,3.506753376688344e+33,5.796876125099956e+34,1443034954713318.5,43225426239.904305,5844371.64136275,1.8237518461075914,0.005175389533458738,2.4479048411878104,0.4,0.4,convective
2291,3.505052526263131e+33,5.796875246695904e+34,1452132693811490.0,43185757296.12868,5851658.210825785,1.8329694329050954,0.005238365146946318,2.4440072434218703,0.4,0.4,convective
2292,3.503351675837919e+33,5.79687435781535e+34,1461259643634906.5,43146215157.05762,5858933.311112215,1.8422045594020966,0.0053019026051901496,2.4401234468776973,0.4,0.4,convective
2293,3.501650825412706e+33,5.796873458346173e+34,1470415786354275.5,43106799034.65586,5866196.927672272,1.8514571967990776,0.00536600471130752,2.4362534618932283,0.4,0.4,convective
2294,3.4999499749874936e+33,5.796872548175954e+34,1479601104720840.2,43067508145.19904,5873449.046991189,1.8607273171385672,0.005430674270391649,2.4323972969439844,0.4,0.4,convective
2295,3.4982491245622807e+33,5.796871627191971e+34,1488815582066406.5,43028341709.27355,5880689.656589228,1.8700148932916276,0.005495914089644281,2.4285549586601993,0.4,0.4,convective
2296,3.4965482741370684e+33,5.796870695281205e+34,1498059202303316.2,42989298951.77666,5887918.745021652,1.8793198989443685,0.005561726978513056,2.4247264518440343,0.4,0.4,convective
2297,3.494847423711856e+33,5.796869752330333e+34,1507331949924470.2,42950379101.916405,5895136.30187875,1.8886423085845832,0.005628115748834155,2.4209117794869788,0.4,0.4,convective
2298,3.493146573286643e+33,5.796868798225734e+34,1516633810003318.5,42911581393.21167,5902342.317785823,1.8979820974884287,0.0056950832149790095,2.4171109427874002,0.4,0.4,convective
2299,3.491445722861431e+33,5.7968678328534855e+34,1525964768193850.5,42872905063.49219,5909536.784403176,1.9073392417071826,0.005762632194007192,2.4133239411680103,0.4,0.4,convective
2300,3.489744872436218e+33,5.796866856099364e+34,1535324810730617.5,42834349354.89845,5916719.6944261445,1.9167137180540974,0.005830765505823142,2.4095507722936365,0.4,0.4,convective
2301,3.4880440220110054e+33,5.796865867848845e+34,1544713924428707.8,42795913513.88184,5923891.0415850645,1.9261055040912882,0.005899485973338668,2.405791432088897,0.4,0.4,convective
2302,3.4863431715857925e+33,5.796864867987105e+34,1554132096683770.8,42757596791.20451,5931050.820645298,1.9355145781167349,0.005968796422640292,2.4020459147559605,0.4,0.4,convective
2303,3.48464232116058e+33,5.796863856399019e+34,1563579315471993.2,42719398441.939476,5938199.02740721,1.9449409191513083,0.006038699683161588,2.398314212792391,0.4,0.4,convective
2304,3.482941470735367e+33,5.796862832969162e+34,1573055569350123.0,42681317725.47053,5945335.658706193,1.9543845069259134,0.006109198587860595,2.3945963170089937,0.4,0.4,convective
